City,State,Population
New Brunswick city, New Jersey,"55,256"
Saratoga Springs city, Utah,"37,702"
Coeur d'Alene city, Idaho,"54,651"
Tigard city, Oregon,"54,830"
Smyrna city, Georgia,"56,199"
Albany city, Oregon,"56,332"
Bonita Springs city, Florida,"53,665"
Kingsport city, Tennessee,"55,535"
Kettering city, Ohio,"57,860"
Perth Amboy city, New Jersey,"55,437"
Logan city, Utah,"52,842"
Wake Forest town, North Carolina,"48,006"
DeSoto city, Texas,"56,108"
Bartlett city, Tennessee,"57,792"
Oak Lawn village, Illinois,"58,367"
Plainfield city, New Jersey,"54,600"
Highland city, California,"56,960"
Olympia city, Washington,"55,367"
Lincoln city, California,"49,748"
Burleson city, Texas,"47,640"
Fountain Valley city, California,"57,049"
West Sacramento city, California,"53,922"
Anderson city, Indiana,"54,848"
Port Arthur city, Texas,"56,033"
Valdosta city, Georgia,"55,392"
Twin Falls city, Idaho,"51,843"
San Jacinto city, California,"53,896"
Mount Prospect village, Illinois,"56,862"
Peabody city, Massachusetts,"54,501"
Chicopee city, Massachusetts,"55,566"
West Haven city, Connecticut,"55,580"
Apple Valley city, Minnesota,"56,367"
Berwyn city, Illinois,"57,233"
Tinley Park village, Illinois,"56,004"
Kentwood city, Michigan,"54,295"
Manhattan city, Kansas,"54,104"
Fulshear city, Texas,"16,699"
Rocky Mount city, North Carolina,"54,394"
Arcadia city, California,"56,673"
Yucaipa city, California,"54,551"
Methuen city, Massachusetts,"53,019"
Pensacola city, Florida,"54,319"
Wheaton city, Illinois,"54,012"
Elkhart city, Indiana,"53,937"
Joplin city, Missouri,"51,768"
Elyria city, Ohio,"52,668"
Edina city, Minnesota,"53,480"
Rockwall city, Texas,"47,314"
Galveston city, Texas,"53,695"
Colton city, California,"53,889"
Pinellas Park city, Florida,"53,110"
Placentia city, California,"52,726"
Normal town, Illinois,"53,017"
Grand Island city, Nebraska,"53,134"
Delano city, California,"51,424"
Palm Desert city, California,"51,165"
West New York town, New Jersey,"52,835"
Oak Park village, Illinois,"54,773"
Jeffersonville city, Indiana,"49,456"
Mooresville town, North Carolina,"50,295"
Minnetonka city, Minnesota,"53,812"
Summerville town, South Carolina,"50,841"
Cathedral City city, California,"51,501"
Gallatin city, Tennessee,"44,453"
Novato city, California,"53,210"
Diamond Bar city, California,"55,190"
Middletown city, Ohio,"50,986"
Battle Creek city, Michigan,"52,754"
Huntington Park city, California,"54,885"
Burien city, Washington,"52,072"
Columbus city, Indiana,"50,492"
Collierville town, Tennessee,"51,325"
Everett city, Massachusetts,"49,078"
Dunwoody city, Georgia,"51,645"
Bothell city, Washington,"48,154"
Celina city, Texas,"16,883"
Lebanon city, Tennessee,"38,486"
Prescott Valley town, Arizona,"46,745"
Newark city, Ohio,"49,970"
Watsonville city, California,"52,583"
Grapevine city, Texas,"50,632"
Florissant city, Missouri,"52,545"
Ocoee city, Florida,"47,336"
Paramount city, California,"53,749"
Harrisonburg city, Virginia,"51,811"
Troy city, New York,"51,405"
La Crosse city, Wisconsin,"52,687"
Mishawaka city, Indiana,"51,095"
Milford city (balance), Connecticut,"50,544"
Cuyahoga Falls city, Ohio,"51,116"
Hoffman Estates village, Illinois,"52,539"
Clermont city, Florida,"43,033"
